selector_version,selector_run_id,candidate_id,candidate_version,evidence_id,metric_subject_type,metric_subject_id,candidate_metric_match,candidate_metric_match_reason,hard_gate_status,hard_gate_reason,minimum_gate_status,minimum_gate_reason,rule_score,ml_selector_score,final_selector_score,selector_score_source,selector_rank,review_priority,actual_metric_source,actual_metric_role,actual_total_return,actual_max_drawdown,actual_sharpe,actual_turnover,actual_volatility,failure_flags,adoption_candidate_boundary,no_feedback_check,activation_boundary
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:005671bfc6a849f84383,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:010d0f9aa476fb1a2238,v0.3.0,ee_v0_3_20260507_sc_ecard_010d0f9aa476fb1a2238,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,candidate_level_metric_missing|upstream_candidate_not_evaluable,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:019cdc60b9b8838f7b3f,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:01b8633516b0e8097b3f,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:01ffd68984a19612060f,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:02ca4df765ba97a748c4,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:02d116258bfc1e36028a,v0.3.0,ee_v0_3_20260507_sc_ecard_02d116258bfc1e36028a,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,candidate_level_metric_missing|upstream_candidate_not_evaluable,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:02f56db7dbb7475b226d,v0.3.0,ee_v0_3_20260506_sc_ecard_02f56db7dbb7475b226d,strategy_candidate,sc:ecard:02f56db7dbb7475b226d,true,candidate_id_matches_candidate_level_evaluation_evidence,pass,passed_hard_exclusion,pass,passed_minimum_evidence_gate,58.671009,,58.671009,rule_only,20,secondary_review_candidate,approved_evaluation_evidence,candidate_specific,0.9478898686276229,-0.6092164024086726,0.35818175172278915,0.8618159203980099,0.2968075686560764,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:02f5866fa8f14e915a2d,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_rule_first_selector_0_1,rule_first_selector_20260508_124555,sc:ecard:032bbcd811017c77a121,v0.3.0,,,,false,metric_summary_missing_or_unavailable,excluded,missing_candidate_level_evidence,blocked,hard_gate_not_passed,,,,blocked_no_candidate_level_evidence,,not_ranked,,,,,,,,,review_input_only_not_adoption_decision,rule_first_selector_must_not_feed_runtime_ranking_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
