schema_version,candidate_version,metric_role,reference_feature_candidate,training_eligible,training_exclusion_reason,feature_values,candidate_id,evidence_id,metric_subject_type,metric_subject_id,candidate_metric_match,strategy_family,signal_family,max_drawdown,proxy_return,actual_oos_stability,has_oos_evidence,has_benchmark_comparison,failure_flag_count,label_review_preferred,label_status,label_reason_code,evidence_limitations,total_return,excess_return_vs_proxy,max_drawdown_abs,sharpe,turnover,volatility
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:005671bfc6a849f84383,,,,false,value,volatility_liquidity,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:010d0f9aa476fb1a2238,,,,false,other,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:019cdc60b9b8838f7b3f,,,,false,volatility,volatility_liquidity,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:01b8633516b0e8097b3f,,,,false,other,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:01ffd68984a19612060f,,,,false,other,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:02ca4df765ba97a748c4,,,,false,value,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:02d116258bfc1e36028a,,,,false,volatility,volatility_liquidity,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,candidate_specific,false,true,,"{""excess_return_vs_proxy"": 1.218551215836248, ""max_drawdown_abs"": 0.6092164024086726, ""sharpe"": 0.35818175172278915, ""total_return"": 0.9478898686276229, ""turnover"": 0.8618159203980099, ""volatility"": 0.2968075686560764}",sc:ecard:02f56db7dbb7475b226d,ee_v0_3_20260506_sc_ecard_02f56db7dbb7475b226d,strategy_candidate,sc:ecard:02f56db7dbb7475b226d,true,momentum,momentum,-0.6092164024086726,,recorded_walk_forward_fail,1,1,0,0,,,,0.9478898686276229,1.218551215836248,0.6092164024086726,0.35818175172278915,0.8618159203980099,0.2968075686560764
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:02f5866fa8f14e915a2d,,,,false,other,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:032bbcd811017c77a121,,,,false,statistical_arbitrage,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,candidate_specific,false,true,,"{""excess_return_vs_proxy"": 4.856687645713552, ""max_drawdown_abs"": 0.49924422265194046, ""sharpe"": 0.5932409139655367, ""total_return"": 4.59248614414884, ""turnover"": 0.686318407960199, ""volatility"": 0.39104534114120565}",sc:ecard:036ba7277bc6db18ab53,ee_v0_3_20260506_sc_ecard_036ba7277bc6db18ab53,strategy_candidate,sc:ecard:036ba7277bc6db18ab53,true,volatility,volatility_liquidity,-0.49924422265194046,,recorded_walk_forward_pass,1,1,0,1,,,,4.59248614414884,4.856687645713552,0.49924422265194046,0.5932409139655367,0.686318407960199,0.39104534114120565
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:03863eed952da2ab5e53,,,,false,other,,,,,0,0,0,,,,,,,,,,
v0_3_selector_feature_matrix_v1_0,v0.3.0,,false,false,blocked_not_candidate_level_metric,"{""excess_return_vs_proxy"": null, ""max_drawdown_abs"": null, ""sharpe"": null, ""total_return"": null, ""turnover"": null, ""volatility"": null}",sc:ecard:03c5b08343e9c8ff11ce,,,,false,volatility,volatility_liquidity,,,,0,0,0,,,,,,,,,,
