packet_id,candidate_id,candidate_version,packet_status,evidence_status,current_condition_status,risk_flags,coverage_gaps,manual_review_checklist
pds_v0_5_sc_ecard_010d0f9aa476fb1a2238,sc:ecard:010d0f9aa476fb1a2238,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_02d116258bfc1e36028a,sc:ecard:02d116258bfc1e36028a,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_02f56db7dbb7475b226d,sc:ecard:02f56db7dbb7475b226d,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_036ba7277bc6db18ab53,sc:ecard:036ba7277bc6db18ab53,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_06aea1bbb74c3e22b38d,sc:ecard:06aea1bbb74c3e22b38d,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_07e715a18ca303a035e9,sc:ecard:07e715a18ca303a035e9,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_08da6a7622f361dae6e2,sc:ecard:08da6a7622f361dae6e2,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_0910c98f460841de26c5,sc:ecard:0910c98f460841de26c5,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_0bde902d7888f21a20a0,sc:ecard:0bde902d7888f21a20a0,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_0d697687f5142e31a28c,sc:ecard:0d697687f5142e31a28c,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_0da45534c2e2d78afee8,sc:ecard:0da45534c2e2d78afee8,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_10798fed15c217f31b98,sc:ecard:10798fed15c217f31b98,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_11b1351c43e8100fa6b4,sc:ecard:11b1351c43e8100fa6b4,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_122d62c1e7a158e952c2,sc:ecard:122d62c1e7a158e952c2,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_126fb6084d72e85e82a0,sc:ecard:126fb6084d72e85e82a0,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_1365b735b7a9a20a8c34,sc:ecard:1365b735b7a9a20a8c34,v0.3.0,blocked_missing_current_condition,needs_more_evidence,blocked_missing_current_condition,"[""candidate_level_metric_missing"", ""research_risk_flag_count_6"", ""upstream_candidate_not_evaluable""]","[""actual_metric_summary_unavailable"", ""adoption_required_checks_not_ready"", ""candidate_level_metric_missing"", ""oos_stability_not_confirmed""]","[""confirm_current_kospi200_boundary_snapshot"", ""obtain_candidate_level_evaluation_evidence_before_use"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated""]"
pds_v0_5_sc_ecard_154d648d554b4b22a3d4,sc:ecard:154d648d554b4b22a3d4,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
pds_v0_5_sc_ecard_17f72dcbf14d500ec397,sc:ecard:17f72dcbf14d500ec397,v0.3.0,blocked_missing_current_condition,evidence_recorded,blocked_missing_current_condition,"[""drawdown_metric_available"", ""research_risk_flag_count_6""]",[],"[""confirm_current_kospi200_boundary_snapshot"", ""review_evaluation_evidence_source_packet"", ""review_cost_sensitivity_flags"", ""review_drawdown_volatility_turnover_flags"", ""confirm_no_order_or_position_instruction_is_generated"", ""treat_ml_ranking_manifest_as_reference_only""]"
