schema_version,event_table_kind,master_mvp_context_marker,target_quant_path,owner_route,ticker,company_name,event_id,event_date,listing_date,event_type,event_subtype,event_name,price_adjustment_factor_for_prior_rows,share_adjustment_factor_for_prior_rows,adjustment_factor_status,adjustment_direction,ratio_text,source_name,source_url,source_as_of_date,source_confidence,notes,boundary,no_lookahead_check,no_feedback_check,activation_boundary
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,001440,대한전선,001440_20230516_reverse_split,2023-05-16,2023-05-16,reverse_split,par_value_consolidation,10-to-1 reverse split / par value consolidation,10,0.1,derived_from_reported_ratio,adjust_prior_prices_multiply_and_prior_volume_divide,10:1,서울신문,https://www.seoul.co.kr/news/economy/2023/02/22/20230222500161,2026-05-06,high,Article reports common shares consolidated 10 into 1 and relisting plan on 2023-05-16.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,011200,HMM,011200_20160420_capital_reduction,2016-04-20,2016-04-20,capital_reduction,common_share_reduction,7-to-1 capital reduction / reverse split equivalent,7,0.1428571429,derived_from_reported_ratio,adjust_prior_prices_multiply_and_prior_volume_divide,7:1,Digrin,https://www.digrin.com/stocks/detail/011200.KS/stock_split,2026-05-06,medium,Third-party split table lists 2016-04-20 ratio 0.143; use official source before production-grade adjustment.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,011200,HMM,011200_20160901_major_holder_capital_reduction,2016-08-19,2016-09-01,capital_reduction,differential_major_holder_reduction,major holder 7-to-1 differential reduction,, ,factor_requires_official_holder_specific_terms,do_not_apply_simple_universal_factor,7:1,한국경제,https://www.hankyung.com/article/2016071569836,2026-05-06,medium,Differential major-holder reduction is recorded as an event flag but is not a universal OHLCV adjustment factor.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,071970,HD현대마린엔진,071970_20181102_capital_reduction_rights_issue,2018-11-02,2018-11-05,capital_reduction_and_paid_issue,reorganization,87.5 percent reduction and paid capital increase,, ,factor_requires_official_terms,do_not_apply_simple_universal_factor,reduction 87.5%; new shares 19540000,FETV,https://www.fetv.co.kr/mobile/article.html?no=14917,2026-05-06,medium,Former STX Heavy Industries event; simple split factor is unsafe because reduction and paid issue coexist.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,042660,한화오션,042660_20171030_capital_reduction_resume,2017-10-30,2017-10-30,capital_reduction,reverse_split_equivalent,10-to-1 reduction before trading resume,10,0.1,derived_from_reported_ratio,adjust_prior_prices_multiply_and_prior_volume_divide,10:1,연합뉴스,https://www.yna.co.kr/view/AKR20171026190500008,2026-05-06,high,Former Daewoo Shipbuilding & Marine Engineering event; source reports 10-to-1 reduction reflected in theoretical base price.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,005930,삼성전자,005930_20180504_stock_split,2018-05-04,2018-05-04,stock_split,par_value_split,50-for-1 stock split,0.02,50,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,50:1,Samsung Newsroom,https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EC%A3%BC%EC%8B%9D-501-%EC%95%A1%EB%A9%B4%EB%B6%84%ED%95%A0-%EA%B2%B0%EC%9D%98,2026-05-06,high,Company newsroom reports 50-to-1 split decision.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,001800,오리온홀딩스,001800_201705xx_split_and_demerger,2017-05-01,2017-07-07,stock_split_and_demerger,holding_company_conversion,stock split plus corporate demerger,, ,factor_requires_official_terms,do_not_apply_simple_universal_factor,split 10:1 plus demerger,한국경제,https://www.hankyung.com/article/2016112391216,2026-05-06,medium,Source reports 5000-to-500 won split and holding-company demerger plan; factor requires official final terms.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,300720,한일시멘트,300720_20210913_stock_split,2021-09-10,2021-09-13,stock_split,par_value_split,stock split recorded in capital-change history,, ,factor_requires_official_ratio,do_not_apply_until_ratio_verified,ratio not in source snippet,FnGuide,https://asp01.fnguide.com/SVO2/asp/SVD_Corp.asp?NewMenuID=102&gicode=A300720,2026-05-06,medium,FnGuide capital-change table records stock split on 2021-09-10 and listing date 2021-09-13; ratio must be confirmed before applying.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,005300,롯데칠성,005300_20190503_stock_split,2019-05-03,2019-05-03,stock_split,par_value_split,10-for-1 stock split,0.1,10,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,10:1,한국경제,https://www.hankyung.com/article/201903067286g,2026-05-06,high,Article reports 5000-to-500 won 10-to-1 split decision.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,004990,롯데지주,004990_20160517_stock_split,2016-05-17,2016-05-17,stock_split,par_value_split,10-for-1 stock split when listed as Lotte Confectionery,0.1,10,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,10:1,연합뉴스,https://www.yna.co.kr/view/AKR20160307111100008,2026-05-06,high,Former Lotte Confectionery ticker history; source reports 5000-to-500 won split and 2016-05-17 new listing.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,017670,SK텔레콤,017670_20211129_stock_split,2021-10-28,2021-11-29,stock_split,par_value_split,5-for-1 stock split,0.2,5,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,5:1,이데일리,https://www.edaily.co.kr/News/Read?mediaCodeNo=257&newsId=01630166629080408,2026-05-06,high,Source reports 500-to-100 won split and 2021-11-29 changed/relisted shares.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,017670,SK텔레콤,017670_20211129_demerger,2021-11-01,2021-11-29,demerger,spin_off,SK Telecom / SK Square demerger,, ,factor_requires_official_terms,do_not_apply_simple_universal_factor,split ratio 0.6073625 / 0.3926375,이데일리,https://www.edaily.co.kr/News/Read?mediaCodeNo=257&newsId=01630166629080408,2026-05-06,high,Demerger must be handled as separate value distribution; do not use the stock split factor alone for full adjusted close.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,035420,NAVER,035420_20181012_stock_split,2018-10-12,2018-10-12,stock_split,par_value_split,5-for-1 stock split,0.2,5,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,5:1,파이낸셜뉴스,https://www.fnnews.com/news/201810120927141584,2026-05-06,high,Source reports 500-to-100 won split and first trading day after suspension on 2018-10-12.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,035720,카카오,035720_20210415_stock_split,2021-04-15,2021-04-15,stock_split,par_value_split,5-for-1 stock split,0.2,5,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,5:1,서울경제,https://www.sedaily.com/NewsView/22IO57RJNN,2026-05-06,high,Source reports 500-to-100 won split and 2021-04-15 new-share listing.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,000100,유한양행,000100_20200408_stock_split,2020-04-08,2020-04-08,stock_split,par_value_split,5-for-1 stock split,0.2,5,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,5:1,한국경제,https://www.hankyung.com/article/2020040838276,2026-05-06,high,Source reports 5000-to-1000 won split and first trading day after split.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,278470,에이피알,278470_20241031_stock_split,2024-10-31,2024-10-31,stock_split,par_value_split,5-for-1 stock split,0.2,5,derived_from_reported_ratio,adjust_prior_prices_divide_and_prior_volume_multiply,5:1,한국경제,https://www.hankyung.com/article/2024103108336,2026-05-06,high,Source reports 500-to-100 won split and trading resumed on 2024-10-31.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,383220,F&F,383220_20220413_stock_split,2022-04-12,2022-04-13,stock_split,par_value_split,stock split recorded in capital-change history,, ,factor_requires_official_ratio,do_not_apply_until_ratio_verified,ratio not in source snippet,FnGuide,https://comp.fnguide.com/SVO2/ASP/SVD_Corp.asp?NewMenuID=102&gicode=A383220,2026-05-06,medium,FnGuide capital-change table records stock split on 2022-04-12 and listing date 2022-04-13; ratio must be confirmed before applying.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,086280,현대글로비스,086280_20240802_bonus_issue,2024-07-15,2024-08-02,bonus_issue,free_capital_increase,bonus issue recorded in capital-change history,0.5,2,derived_from_changed_shares_if_one_for_one,adjust_prior_prices_divide_and_prior_volume_multiply,1:1 bonus issue inferred from 37500000 new shares on 37500m capital base,FnGuide,https://comp.fnguide.com/SVO2/ASP/SVD_corp.asp?NewMenuID=12&gicode=A086280,2026-05-06,medium,FnGuide records 37500000 bonus shares and capital doubling; verify final official rights terms before production-grade use.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_kospi200_corporate_action_events_0_1,kospi200_adjusted_close_event_inputs,master_mvp_ml_useful_processed_price_table,Quant_mvp/data/v0_3/local_price_inputs,master_mvp_v0_3_strategy_adoption,267250,HD현대,267250_20210413_stock_split,2021-04-12,2021-04-13,stock_split,par_value_split,stock split recorded in capital-change history,, ,factor_requires_official_ratio,do_not_apply_until_ratio_verified,ratio not in source snippet,FnGuide,https://wcomp.fnguide.com/CompanyInfo/Information?cmp_cd=267250,2026-05-06,medium,FnGuide capital-change table records stock split on 2021-04-12 and listing date 2021-04-13; ratio must be confirmed before applying.,candidate/evidence adjusted-close input only; not a trading signal or production activation,event_date_is_public_event_or_listing_date; apply only to rows strictly before event date,do_not_feed_adjusted_output_to_runtime_scores_rankings_reports_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
