schema_version,collection_boundary,mapping_mode,requested_period_start,requested_period_end,observed_coverage_start,observed_coverage_end,as_of_date,coverage_status,rank_scope,universe_ticker_count_for_date,slot_label,rank_slot,slot_role,candidate_id,evidence_id,resolved_ticker,resolved_company_name,resolved_liquidity_rank,average_traded_value_20d,average_traded_value_window_start,average_traded_value_window_end,source_type,source_ref,market_cap_proxy,market_cap_status,market_cap_as_of_date,mapping_status,not_strategy_composition,no_feedback_check
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-03-31,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1200518825895.0,2025-03-04,2025-03-31,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-03-31,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,644229961245.0,2025-03-04,2025-03-31,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-03-31,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,511200168215.0,2025-03-04,2025-03-31,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-03-31,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,420140143350.0,2025-03-04,2025-03-31,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-03-31,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,332981557200.0,2025-03-04,2025-03-31,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-01,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1190653974110.0,2025-03-05,2025-04-01,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-01,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,616579409715.0,2025-03-05,2025-04-01,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-01,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,447335725885.0,2025-03-05,2025-04-01,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-01,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,387610953850.0,2025-03-05,2025-04-01,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-01,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,325885886870.0,2025-03-05,2025-04-01,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
